id,name,team,now_cost,element_type,PTS,TREB,AST,STL,BLK,TO,PPG,Gameweek 1 - Day 1,Gameweek 1 - Day 2,Gameweek 1 - Day 3,Gameweek 1 - Day 4,Gameweek 1 - Day 5,Gameweek 1 - Day 6,Gameweek 2 - Day 1,Gameweek 2 - Day 2,Gameweek 2 - Day 3,Gameweek 2 - Day 4,Gameweek 2 - Day 5,Gameweek 2 - Day 6,Gameweek 2 - Day 7,Gameweek 3 - Day 1,Gameweek 3 - Day 2,Gameweek 3 - Day 3,Gameweek 3 - Day 4,Gameweek 3 - Day 5,Gameweek 3 - Day 6,Gameweek 3 - Day 7,Gameweek 4 - Day 1,Gameweek 4 - Day 2,Gameweek 4 - Day 3,Gameweek 4 - Day 4,Gameweek 4 - Day 5,Gameweek 4 - Day 6
79,Collin Sexton,4,100,1,19.5,2.6,9.4,2.4000000000000004,0.30000000000000004,0.0,34.199999999999996,0.0,34.76,0.0,0.0,34.32,35.85,0.0,26.14,0.0,25.42,0.0,26.74,30.28,0.0,22.71,0.0,0.0,20.91,0.0,0.0,17.8,0.0,17.62,0.0,16.93,16.73
82,Nikola Vucevic,5,140,2,16.8,9.2,7.2,1.7999999999999998,2.4000000000000004,0.0,37.4,0.0,37.51,0.0,0.0,33.7,0.0,31.66,0.0,30.2,0.0,29.4,0.0,28.25,0.0,25.06,0.0,0.0,23.05,22.88,0.0,20.03,0.0,18.45,0.0,0.0,0.0
83,Coby White,5,120,1,27.7,4.3,8.6,2.0999999999999996,0.30000000000000004,0.0,43.0,0.0,43.26,0.0,0.0,38.62,0.0,36.79,0.0,35.26,0.0,33.88,0.0,32.55,0.0,28.72,0.0,0.0,26.7,26.44,0.0,23.14,0.0,21.28,0.0,0.0,0.0
86,Dalen Terry,5,50,1,5.5,2.5,3.4,3.0,0.30000000000000004,0.0,14.700000000000001,0.0,14.93,0.0,0.0,13.22,0.0,12.66,0.0,11.9,0.0,11.31,0.0,10.87,0.0,9.67,0.0,0.0,8.98,8.97,0.0,7.87,0.0,7.34,0.0,0.0,0.0
90,Josh Giddey,5,135,1,20.1,10.0,19.2,4.800000000000001,1.5,0.0,55.599999999999994,0.0,55.46,0.0,0.0,49.51,0.0,47.54,0.0,45.22,0.0,43.3,0.0,41.6,0.0,37.29,0.0,0.0,34.34,33.96,0.0,29.97,0.0,27.28,0.0,0.0,0.0
91,Matas Buzelis,5,75,2,12.7,4.9,2.6,1.7999999999999998,3.3000000000000003,0.0,25.300000000000004,0.0,25.66,0.0,0.0,22.88,0.0,21.43,0.0,20.28,0.0,19.99,0.0,19.2,0.0,16.86,0.0,0.0,15.3,15.41,0.0,13.36,0.0,12.62,0.0,0.0,0.0
93,Kevin Huerter,5,80,1,14.1,3.6,6.4,3.5999999999999996,1.2000000000000002,0.0,28.900000000000002,0.0,29.23,0.0,0.0,25.93,0.0,24.8,0.0,23.48,0.0,22.54,0.0,21.66,0.0,19.18,0.0,0.0,17.69,17.66,0.0,15.45,0.0,14.38,0.0,0.0,0.0
94,Tre Jones,5,65,1,15.0,4.3,15.2,4.199999999999999,1.2000000000000002,0.0,39.900000000000006,0.0,39.88,0.0,0.0,35.36,0.0,34.31,0.0,32.54,0.0,31.04,0.0,29.82,0.0,26.73,0.0,0.0,24.52,24.33,0.0,21.47,0.0,19.62,0.0,0.0,0.0
95,Zach Collins,5,60,2,6.9,6.1,4.0,0.8999999999999999,1.5,0.0,19.4,0.0,19.39,0.0,0.0,17.49,0.0,16.35,0.0,15.58,0.0,15.22,0.0,14.62,0.0,13.03,0.0,0.0,11.96,11.85,0.0,10.39,0.0,9.54,0.0,0.0,0.0
98,Isaac Okoro,5,50,1,6.5,2.3,1.8,2.0999999999999996,0.30000000000000004,0.0,13.000000000000002,0.0,13.23,0.0,0.0,11.77,0.0,11.15,0.0,10.53,0.0,10.09,0.0,9.7,0.0,8.56,0.0,0.0,7.97,7.96,0.0,6.95,0.0,6.51,0.0,0.0,0.0
107,Evan Mobley,6,140,2,18.2,8.7,7.0,2.7,5.4,0.0,42.0,0.0,39.78,0.0,41.69,0.0,41.39,32.58,0.0,30.06,0.0,35.65,0.0,35.56,0.0,0.0,28.09,0.0,28.33,28.8,0.0,20.6,0.0,20.6,22.81,0.0,22.64
110,Donovan Mitchell,6,150,1,22.0,5.6,12.6,4.199999999999999,1.2000000000000002,0.0,45.60000000000001,0.0,42.8,0.0,44.66,0.0,45.69,35.21,0.0,32.99,0.0,37.89,0.0,39.09,0.0,0.0,30.44,0.0,30.7,31.37,0.0,22.33,0.0,22.33,24.25,0.0,24.41
111,Sam Merrill,6,60,1,6.7,2.9,3.4,2.4000000000000004,0.6000000000000001,0.0,16.0,0.0,14.91,0.0,15.66,0.0,15.93,12.45,0.0,11.54,0.0,13.44,0.0,13.71,0.0,0.0,10.59,0.0,10.82,10.94,0.0,7.82,0.0,7.82,8.6,0.0,8.58
123,D'Angelo Russell,7,100,1,11.9,3.3,11.0,3.0,1.2000000000000002,0.0,30.4,0.0,31.9,0.0,33.31,0.0,31.58,23.2,0.0,24.41,0.0,0.0,23.38,0.0,17.97,0.0,21.09,0.0,19.57,20.48,0.0,15.53,0.0,16.14,0.0,15.32,0.0
124,Naji Marshall,7,85,2,18.5,5.9,7.6,3.0,0.8999999999999999,0.0,35.9,0.0,37.66,0.0,39.33,0.0,37.34,27.64,0.0,29.08,0.0,0.0,27.77,0.0,21.42,0.0,24.77,0.0,23.05,24.18,0.0,18.46,0.0,19.07,0.0,18.02,0.0
126,Jaden Hardy,7,50,1,12.1,1.6,2.8,1.7999999999999998,0.0,0.0,18.3,0.0,19.19,0.0,19.97,0.0,19.0,13.98,0.0,14.84,0.0,0.0,14.26,0.0,10.92,0.0,12.62,0.0,11.77,12.28,0.0,9.42,0.0,9.79,0.0,9.22,0.0
130,Brandon Williams,7,65,1,15.3,2.9,8.0,5.1,0.30000000000000004,0.0,31.599999999999998,0.0,33.11,0.0,34.64,0.0,32.98,23.9,0.0,25.31,0.0,0.0,24.6,0.0,18.73,0.0,21.92,0.0,20.36,21.3,0.0,16.13,0.0,16.89,0.0,16.06,0.0
132,P.J. Washington,7,105,2,18.9,6.1,3.6,1.7999999999999998,3.3000000000000003,0.0,33.7,0.0,34.94,0.0,36.86,0.0,35.57,26.22,0.0,27.32,0.0,0.0,26.22,0.0,20.59,0.0,23.17,0.0,21.78,22.66,0.0,17.12,0.0,17.62,0.0,16.73,0.0
133,Klay Thompson,7,85,1,14.4,3.4,4.2,0.8999999999999999,0.30000000000000004,0.0,23.2,0.0,24.39,0.0,25.32,0.0,23.98,17.95,0.0,18.94,0.0,0.0,17.92,0.0,13.84,0.0,15.96,0.0,14.87,15.57,0.0,12.01,0.0,12.35,0.0,11.58,0.0
142,Jeremiah Robinson-Earl,7,55,2,7.3,4.3,3.2,1.5,0.0,0.0,16.3,0.0,17.18,0.0,17.94,0.0,16.91,12.62,0.0,13.23,0.0,0.0,12.58,0.0,9.67,0.0,11.23,0.0,10.4,11.03,0.0,8.45,0.0,8.69,0.0,8.19,0.0
613,Dalano Banton,7,55,2,7.7,2.0,5.2,1.7999999999999998,1.7999999999999998,0.0,18.5,0.0,19.21,0.0,20.26,0.0,19.48,14.18,0.0,14.82,0.0,0.0,14.32,0.0,11.15,0.0,12.82,0.0,11.98,12.46,0.0,9.33,0.0,9.7,0.0,9.27,0.0
144,Cameron Johnson,8,95,2,17.9,5.4,10.8,3.5999999999999996,1.2000000000000002,0.0,38.9,0.0,0.0,37.22,0.0,40.36,0.0,29.26,0.0,33.63,0.0,30.97,0.0,0.0,25.34,0.0,24.81,0.0,24.79,25.1,0.0,0.0,19.48,18.8,0.0,0.0,18.73
145,Kessler Edwards,8,50,2,10.4,5.1,2.0,1.7999999999999998,2.7,0.0,22.0,0.0,0.0,21.37,0.0,22.34,0.0,16.58,0.0,18.93,0.0,17.73,0.0,0.0,14.08,0.0,14.01,0.0,14.23,14.2,0.0,0.0,10.82,10.5,0.0,0.0,10.61
146,Nikola Jokic,8,220,2,36.2,12.0,16.6,5.1,2.4000000000000004,0.0,72.30000000000001,0.0,0.0,69.3,0.0,74.9,0.0,54.39,0.0,62.35,0.0,57.42,0.0,0.0,47.06,0.0,46.15,0.0,46.16,46.87,0.0,0.0,36.17,34.8,0.0,0.0,34.81
147,Aaron Gordon,8,105,2,16.8,4.8,7.6,0.6000000000000001,0.8999999999999999,0.0,30.700000000000003,0.0,0.0,29.47,0.0,31.82,0.0,23.01,0.0,26.43,0.0,24.17,0.0,0.0,20.05,0.0,19.65,0.0,19.63,20.03,0.0,0.0,15.41,14.69,0.0,0.0,14.72
148,Jamal Murray,8,140,1,23.0,4.2,11.6,3.5999999999999996,0.8999999999999999,0.0,43.3,0.0,0.0,41.33,0.0,45.05,0.0,32.55,0.0,37.42,0.0,34.38,0.0,0.0,28.32,0.0,27.56,0.0,27.53,28.0,0.0,0.0,21.77,20.92,0.0,0.0,20.83
149,Zeke Nnaji,8,45,2,3.4,1.9,1.8,2.4000000000000004,3.0,0.0,12.5,0.0,0.0,12.25,0.0,12.43,0.0,9.42,0.0,10.86,0.0,10.38,0.0,0.0,7.87,0.0,7.89,0.0,8.16,7.84,0.0,0.0,6.05,6.01,0.0,0.0,6.03
150,Christian Braun,8,115,1,15.9,5.6,6.8,3.0,0.30000000000000004,0.0,31.6,0.0,0.0,30.16,0.0,32.89,0.0,23.85,0.0,27.26,0.0,25.12,0.0,0.0,20.59,0.0,20.15,0.0,20.09,20.47,0.0,0.0,15.83,15.28,0.0,0.0,15.26
151,Peyton Watson,8,75,2,8.4,3.3,2.2,1.2000000000000002,6.0,0.0,21.099999999999998,0.0,0.0,20.93,0.0,20.75,0.0,15.76,0.0,18.2,0.0,17.28,0.0,0.0,13.29,0.0,13.41,0.0,13.94,13.45,0.0,0.0,10.21,9.93,0.0,0.0,10.08
152,Jalen Pickett,8,45,1,5.3,2.1,5.8,1.7999999999999998,0.30000000000000004,0.0,15.3,0.0,0.0,14.6,0.0,15.92,0.0,11.5,0.0,13.28,0.0,12.19,0.0,0.0,9.97,0.0,9.77,0.0,9.73,9.82,0.0,0.0,7.67,7.44,0.0,0.0,7.36
159,Tim Hardaway Jr.,8,75,1,13.4,2.8,2.8,1.7999999999999998,0.30000000000000004,0.0,21.1,0.0,0.0,20.13,0.0,21.95,0.0,15.94,0.0,18.16,0.0,16.78,0.0,0.0,13.78,0.0,13.39,0.0,13.41,13.71,0.0,0.0,10.59,10.17,0.0,0.0,10.2
160,Bruce Brown,8,65,2,10.2,4.4,5.8,1.5,1.5,0.0,23.4,0.0,0.0,22.55,0.0,24.08,0.0,17.57,0.0,20.19,0.0,18.63,0.0,0.0,15.16,0.0,14.96,0.0,15.02,15.13,0.0,0.0,11.65,11.23,0.0,0.0,11.25
163,Caris LeVert,9,90,1,13.7,3.3,6.0,2.7,2.0999999999999996,0.0,27.799999999999997,0.0,28.63,0.0,26.2,0.0,25.93,22.06,0.0,20.75,0.0,0.0,22.89,0.0,17.97,0.0,19.95,0.0,17.53,0.0,17.79,15.58,0.0,15.26,0.0,14.82,0.0
165,Tobias Harris,9,120,2,13.5,6.7,4.2,4.5,2.4000000000000004,0.0,31.299999999999997,0.0,32.04,0.0,29.67,0.0,29.28,24.83,0.0,23.59,0.0,0.0,25.76,0.0,20.21,0.0,22.39,0.0,19.68,0.0,19.88,17.64,0.0,17.07,0.0,16.55,0.0
167,Cade Cunningham,9,170,1,27.1,6.4,15.2,2.7,2.4000000000000004,0.0,53.800000000000004,0.0,55.7,0.0,50.09,0.0,50.64,42.81,0.0,39.97,0.0,0.0,44.46,0.0,34.6,0.0,38.25,0.0,33.84,0.0,34.7,30.1,0.0,29.68,0.0,28.89,0.0
170,Jalen Duren,9,125,2,14.9,11.1,5.2,1.5,3.0,0.0,35.7,0.0,36.76,0.0,33.83,0.0,33.87,28.4,0.0,26.92,0.0,0.0,29.48,0.0,22.9,0.0,25.14,0.0,22.52,0.0,22.98,20.11,0.0,19.59,0.0,19.14,0.0
171,Marcus Sasser,9,55,1,9.3,1.8,3.8,2.4000000000000004,0.0,0.0,17.300000000000004,0.0,17.78,0.0,16.04,0.0,16.32,13.79,0.0,12.94,0.0,0.0,14.3,0.0,11.12,0.0,12.28,0.0,10.77,0.0,11.0,9.7,0.0,9.48,0.0,9.16,0.0
172,Ausar Thompson,9,100,1,11.0,5.6,4.2,3.9000000000000004,3.3000000000000003,0.0,28.000000000000004,0.0,28.68,0.0,26.74,0.0,25.93,22.13,0.0,21.04,0.0,0.0,22.97,0.0,18.16,0.0,20.24,0.0,17.73,0.0,17.82,15.77,0.0,15.28,0.0,14.84,0.0
179,Colby Jones,9,45,1,8.5,3.2,3.8,4.5,1.5,0.0,21.5,0.0,21.96,0.0,20.29,0.0,19.89,17.01,0.0,16.14,0.0,0.0,17.66,0.0,13.93,0.0,15.56,0.0,13.51,0.0,13.56,12.12,0.0,11.7,0.0,11.29,0.0
183,Stephen Curry,10,150,1,24.7,3.7,10.6,4.5,1.2000000000000002,0.0,44.7,43.5,0.0,47.47,44.54,0.0,0.0,37.47,35.18,0.0,34.34,0.0,34.64,0.0,0.0,29.74,28.06,0.0,29.19,0.0,28.85,0.0,20.97,23.02,0.0,23.02,0.0
184,Draymond Green,10,110,2,9.3,6.1,10.2,5.4,3.3000000000000003,0.0,34.3,33.17,0.0,36.46,34.75,0.0,0.0,28.88,27.06,0.0,25.89,0.0,26.19,0.0,0.0,22.48,21.17,0.0,22.42,0.0,21.8,0.0,16.11,17.52,0.0,17.52,0.0
185,Moses Moody,10,70,1,11.7,3.0,4.0,4.199999999999999,1.2000000000000002,0.0,24.099999999999998,23.33,0.0,25.49,24.38,0.0,0.0,20.28,19.08,0.0,18.3,0.0,18.5,0.0,0.0,15.96,14.99,0.0,15.67,0.0,15.41,0.0,11.26,12.32,0.0,12.32,0.0
186,Gary Payton II,10,55,1,10.2,3.1,2.6,4.5,0.8999999999999999,0.0,21.299999999999997,20.6,0.0,22.46,21.66,0.0,0.0,17.92,16.93,0.0,16.15,0.0,16.31,0.0,0.0,14.12,13.22,0.0,13.81,0.0,13.58,0.0,9.92,10.88,0.0,10.88,0.0
188,Brandin Podziemski,10,95,1,18.3,6.0,6.8,3.3000000000000003,0.0,0.0,34.4,33.5,0.0,36.21,34.16,0.0,0.0,28.66,27.06,0.0,26.68,0.0,26.8,0.0,0.0,22.96,21.57,0.0,22.27,0.0,22.31,0.0,16.26,17.8,0.0,17.8,0.0
189,Gui Santos,10,45,2,4.3,3.4,3.0,0.8999999999999999,0.30000000000000004,0.0,11.9,11.56,0.0,12.48,11.81,0.0,0.0,9.88,9.32,0.0,9.23,0.0,9.27,0.0,0.0,7.88,7.4,0.0,7.68,0.0,7.72,0.0,5.69,6.16,0.0,6.16,0.0
