id,name,now_cost,team,element_type,status
219,Jalen Green,123,9,1,a
220,Jabari Smith Jr.,109,9,2,a
221,Tari Eason,100,9,2,i
222,Trevor Hudgins,45,9,1,u
223,Darius Days,45,9,2,u
224,Jock Landale,48,9,2,a
225,Fred VanVleet,144,9,1,a
226,Dillon Brooks,89,9,1,a
227,Joshua Obiesie,45,9,2,u
228,Amen Thompson,105,9,1,a
229,Cam Whitmore,83,9,2,a
230,Jeenathan Williams,44,9,1,a
231,Matthew Mayer,45,9,2,u
232,Jermaine Samuels Jr.,45,9,2,u
233,Boban Marjanovic,45,9,2,u
234,Reggie Bullock,50,9,1,u
235,Steven Adams,68,9,2,a
236,N'Faly Dante,45,9,2,a
237,Jack McVeigh,43,9,1,a
238,Reed Sheppard,78,9,1,i
621,Markquis Nowell,45,9,1,u
810,Thon Maker,45,9,2,u
3,Bogdan Bogdanovic,110,10,1,a
12,Seth Lundy,45,10,1,d
239,Derrick Jones Jr.,70,10,2,a
241,Kawhi Leonard,150,10,2,i
242,Ivica Zubac,117,10,2,a
243,Norman Powell,85,10,1,a
245,Amir Coffey,45,10,1,a
246,Xavier Moon,45,10,1,u
247,Kobe Brown,48,10,2,a
248,Jordan Miller,44,10,1,i
250,James Harden,147,10,1,a
254,Bryson Williams,45,10,2,u
255,Nate Darling,45,10,1,u
256,Nicolas Batum,68,10,2,a
259,Kris Dunn,75,10,1,a
260,Cam Christie,43,10,1,a
261,Trentyn Flowers,44,10,2,a
362,Ben Simmons,94,10,1,a
639,Patty Mills,48,10,1,a
642,Drew Eubanks,53,10,2,a
713,Patrick Baldwin Jr.,54,10,2,a
97,Trey Jemison,58,11,2,a
129,Luka Doncic,190,11,1,a
131,Maxi Kleber,54,11,2,i
135,Markieff Morris,48,11,2,a
265,Christian Wood,60,11,2,u
266,Jaxson Hayes,55,11,2,a
267,LeBron James,167,11,2,a
269,Austin Reaves,119,11,1,a
272,Jarred Vanderbilt,60,11,2,a
273,Rui Hachimura,94,11,2,a
274,Cam Reddish,53,11,2,u
275,Gabe Vincent,43,11,1,a
277,D'Moi Hodge,45,11,1,u
281,Vincent Valerio-Bodon,45,11,2,u
285,Bronny James,43,11,1,a
286,Dalton Knecht,53,11,2,a
287,Quincy Olivari,43,11,2,u
