R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
228  10,Jordan Goodwin,"PG,SG",LAL,17,19.6,5.4,3.7,1.5,0.9,0.5,0.9,-1.88
229  49,A.J. Lawson,"SG,SF",TOR,15,21.5,11.1,4.1,1.3,0.7,0.3,0.9,-1.90
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
230  31,Jusuf Nurkic,C,CHA,15,16.5,8.3,5.1,1.7,0.3,0.6,1.3,-1.90
231  11,Jonas Valanciunas,C,SAC,16,16.4,7.0,6.7,1.5,0.3,0.4,0.9,-1.92
232  56,De'Andre Hunter,"SF,PF",CLE,14,24.1,12.9,3.6,1.1,0.8,0.2,0.7,-1.92
233  51,Ricky Council IV,"SG,SF",PHI,16,25.6,11.4,4.9,1.8,0.4,0.3,1.0,-1.92
234  2,Norman Powell,"SG,SF",LAC,11,28.8,14.5,1.8,1.8,1.0,0.1,0.8,-1.93
235  19,Malik Beasley,"SG,SF",DET,15,29.8,14.8,2.5,1.7,0.9,0.1,1.1,-1.94
236  11,Khris Middleton,SF,WAS,8,20.3,9.5,3.3,2.6,1.0,0.0,1.0,-1.94
237  18,Alex Reese,PF,PHI,10,18.3,6.1,3.9,0.3,0.9,0.6,0.5,-1.94
238  18,Tidjane Salaun,PF,CHA,9,25.5,8.7,6.2,1.9,0.4,0.2,0.9,-1.96
239  27,Jake LaRavia,"SF,PF",SAC,8,22.4,8.6,2.4,1.3,1.4,0.1,0.8,-1.96
