id,name,team,now_cost,element_type,PTS,TREB,AST,STL,BLK,TO,PPG,Gameweek 10 - Day 1,Gameweek 10 - Day 2,Gameweek 10 - Day 3,Gameweek 10 - Day 4,Gameweek 10 - Day 5,Gameweek 10 - Day 6,Gameweek 11 - Day 1,Gameweek 11 - Day 2,Gameweek 11 - Day 3,Gameweek 11 - Day 4,Gameweek 11 - Day 5,Gameweek 11 - Day 6,Gameweek 11 - Day 7
85,Patrick Williams,5,70,2,7.2,3.9599999999999995,1.9500000000000002,2.7,0.8999999999999999,-1.0,15.709999999999997,0.0,16.03,0.0,16.06,15.66,0.0,15.46,0.0,17.03,0.0,14.63,16.52,0.0
86,Dalen Terry,5,48,1,3.1,2.16,2.25,2.4000000000000004,0.8999999999999999,-0.7,10.110000000000001,0.0,10.38,0.0,10.31,9.93,0.0,9.94,0.0,11.04,0.0,9.32,10.71,0.0
87,Jevon Carter,5,43,1,6.9,1.68,1.7999999999999998,2.4000000000000004,0.0,-0.6,12.18,0.0,12.57,0.0,12.41,12.2,0.0,12.02,0.0,13.22,0.0,11.34,12.73,0.0
88,Julian Phillips,5,49,2,3.0,1.68,0.44999999999999996,1.5,0.6000000000000001,-0.1,7.130000000000001,0.0,7.31,0.0,7.28,7.0,0.0,7.06,0.0,7.71,0.0,6.74,7.5,0.0
89,Jalen Smith,5,69,2,10.0,6.96,1.7999999999999998,0.8999999999999999,2.0999999999999996,-1.0,20.759999999999998,0.0,20.86,0.0,21.58,20.81,0.0,20.28,0.0,22.32,0.0,19.44,21.73,0.0
90,Josh Giddey,5,136,1,20.3,11.52,13.350000000000001,3.0,1.5,-3.7,45.97,0.0,46.65,0.0,47.84,46.67,0.0,44.69,0.0,49.84,0.0,42.08,47.99,0.0
91,Matas Buzelis,5,74,2,14.0,6.84,2.4000000000000004,2.7,4.199999999999999,-2.1,28.04,0.0,28.32,0.0,28.9,27.63,0.0,27.36,0.0,30.32,0.0,26.02,29.57,0.0
92,Emanuel Miller,5,43,2,3.0,0.72,1.2000000000000002,1.2000000000000002,0.0,-0.0,6.12,0.0,6.35,0.0,6.28,6.1,0.0,6.05,0.0,6.63,0.0,5.74,6.37,0.0
93,Kevin Huerter,5,80,1,11.9,3.9599999999999995,3.5999999999999996,2.4000000000000004,2.0999999999999996,-1.3,22.66,0.0,23.1,0.0,23.39,22.5,0.0,22.13,0.0,24.53,0.0,20.99,23.74,0.0
94,Tre Jones,5,65,1,13.2,3.84,7.3500000000000005,5.4,0.6000000000000001,-1.6,28.79,0.0,29.71,0.0,29.51,28.75,0.0,28.27,0.0,31.34,0.0,26.53,30.15,0.0
98,Isaac Okoro,5,50,1,8.2,3.24,2.4000000000000004,1.2000000000000002,2.0999999999999996,-1.0,16.14,0.0,16.36,0.0,16.73,15.97,0.0,15.71,0.0,17.46,0.0,14.93,16.94,0.0
104,Lonzo Ball,6,70,1,5.5,5.52,7.3500000000000005,3.5999999999999996,0.8999999999999999,-1.8,21.069999999999997,22.19,23.0,19.38,0.0,19.4,0.0,21.36,0.0,22.09,0.0,22.56,0.0,21.01
105,De'Andre Hunter,6,95,1,16.0,5.159999999999999,3.75,2.4000000000000004,0.30000000000000004,-1.7,25.910000000000004,26.97,27.99,24.29,0.0,24.15,0.0,26.23,0.0,27.23,0.0,27.35,0.0,26.07
106,Darius Garland,6,130,1,14.0,3.5999999999999996,9.3,2.0999999999999996,0.30000000000000004,-2.8,26.5,27.64,28.87,24.73,0.0,24.25,0.0,27.03,0.0,28.09,0.0,28.56,0.0,26.27
108,Jarrett Allen,6,129,2,14.3,9.12,2.7,3.0,2.7,-1.6,30.22,31.7,32.59,28.37,0.0,28.75,0.0,30.25,0.0,31.13,0.0,31.59,0.0,30.51
109,Dean Wade,6,55,2,5.3,4.56,2.4000000000000004,2.4000000000000004,1.7999999999999998,-0.3,16.16,17.0,17.47,15.08,0.0,15.39,0.0,16.08,0.0,16.5,0.0,16.95,0.0,16.38
110,Donovan Mitchell,6,151,1,30.5,5.76,8.25,4.199999999999999,0.8999999999999999,-3.4,46.209999999999994,48.09,50.04,43.39,0.0,43.04,0.0,46.73,0.0,48.64,0.0,49.15,0.0,46.5
111,Sam Merrill,6,60,1,13.9,2.52,3.4499999999999997,1.5,0.8999999999999999,-0.8,21.47,22.29,23.17,20.28,0.0,20.15,0.0,21.6,0.0,22.36,0.0,22.72,0.0,21.65
113,Craig Porter,6,45,1,5.4,3.84,3.4499999999999997,3.0,1.7999999999999998,-0.7,16.79,17.71,18.24,15.59,0.0,15.9,0.0,16.73,0.0,17.25,0.0,17.79,0.0,17.01
114,Jaylon Tyson,6,46,1,13.0,6.48,2.8499999999999996,3.3000000000000003,2.0999999999999996,-1.0,26.729999999999997,28.0,28.86,25.05,0.0,25.36,0.0,26.73,0.0,27.57,0.0,28.05,0.0,27.09
115,Luke Travers,6,44,2,2.2,2.28,1.2000000000000002,1.5,1.2000000000000002,-0.2,8.180000000000001,8.65,8.86,7.61,0.0,7.85,0.0,8.09,0.0,8.3,0.0,8.6,0.0,8.32
116,Nae'Qwan Tomlin,6,44,2,7.2,4.08,0.8999999999999999,2.7,2.4000000000000004,-0.4,16.880000000000003,17.8,18.23,15.82,0.0,16.31,0.0,16.66,0.0,17.15,0.0,17.67,0.0,17.26
117,Tyrese Proctor,6,44,1,5.6,1.56,2.0999999999999996,0.8999999999999999,0.0,-0.4,9.76,10.13,10.55,9.14,0.0,9.03,0.0,9.89,0.0,10.25,0.0,10.34,0.0,9.8
118,Thomas Bryant,6,53,2,3.3,2.64,0.30000000000000004,0.8999999999999999,0.8999999999999999,-0.2,7.839999999999999,8.24,8.43,7.36,0.0,7.53,0.0,7.8,0.0,7.99,0.0,8.13,0.0,7.96
123,D'Angelo Russell,7,99,1,11.2,3.12,6.449999999999999,1.2000000000000002,0.30000000000000004,-2.1,20.169999999999998,21.07,21.65,19.03,0.0,19.87,0.0,19.75,0.0,0.0,20.94,0.0,19.27,0.0
124,Naji Marshall,7,84,2,12.6,6.0,3.75,3.5999999999999996,0.30000000000000004,-1.1,25.150000000000002,26.12,26.47,23.86,0.0,24.49,0.0,25.12,0.0,0.0,25.84,0.0,24.4,0.0
