R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
212  14,Gary Trent Jr.,"SG,SF",MIL,12,28.2,10.0,1.8,2.3,1.2,0.1,0.8,-1.76
213  75,Javonte Green,"SG,SF",DET,12,21.4,6.0,3.4,1.2,1.1,0.4,0.8,-1.78
214  26,Jordan Goodwin,"PG,SG",PHO,10,16.2,5.9,3.5,2.2,1.2,0.1,1.1,-1.79
215  28,Josh Okogie,"SG,SF",HOU,10,22.9,8.4,2.2,1.3,1.3,0.2,0.6,-1.87
216  77,Jordan Poole,"PG,SG",NO,7,30.3,17.3,1.7,3.4,0.3,0.3,2.1,-1.87
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
217  40,Cam Thomas,"SG,SF",BKN,8,28.3,21.3,1.4,2.6,0.5,0.1,2.0,-1.88
218  71,Duncan Robinson,"SG,SF",DET,12,32.2,12.3,2.6,1.7,0.7,0.3,0.6,-1.91
219  6,Marvin Bagley III,"PF,C",WAS,12,14.5,7.5,4.3,1.3,0.5,0.6,0.9,-1.91
220  29,Vince Williams Jr.,"SG,SF",MEM,8,18.4,8.0,4.3,2.5,0.6,0.3,1.8,-1.94
221  18,Jordan Walsh,"SG,SF",BOS,9,15.5,4.4,4.0,0.8,0.8,0.6,0.2,-1.94
222  16,Dominick Barlow,"PF,C",PHI,2,25.1,7.5,6.0,2.5,0.0,0.5,1.5,-1.98
223,Miles McBride,"PG,SG",NY,9,22.0,8.4,2.4,2.6,1.0,0.1,0.9,-2.00
224  18,Tre Mann,"PG,SG",CHA,11,22.3,10.8,3.1,3.2,0.7,0.1,2.2,-2.02
225  21,Isaac Okoro,"SF,PF",CHI,11,24.5,8.5,2.7,1.8,0.5,0.7,1.3,-2.02
226  9,Bruce Brown,SG,DEN,11,21.8,6.6,4.4,1.4,0.8,0.3,0.9,-2.03
227  18,Mouhamed Gueye,"PF,C",ATL,13,17.0,6.7,4.0,1.5,0.5,0.6,0.9,-2.03
