R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
81,Donovan Mitchell,"PG,SG",CLE,12,32.4,0.378(7.3/19.2),0.848(7.4/8.8),2.0,23.9,5.0,5.5,1.1,0.2,2.3,2.13
82,Kyshawn George,"SG,SF",WAS,12,28.2,0.405(3.9/9.7),0.791(1.3/1.6),1.9,11.0,5.3,3.5,1.5,1.1,1.8,2.12
83,Jalen Duren,C,DET,15,26.7,0.701(5.5/7.8),0.662(3.1/4.7),0.0,14.1,9.8,2.3,0.7,1.2,1.3,1.92
84,Jaylen Brown,"SG,SF",BOS,10,33.7,0.444(7.2/16.2),0.780(3.9/5.0),1.6,19.9,5.0,4.1,1.4,0.6,2.4,1.88
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
85,Jordan Poole,"PG,SG",WAS,13,23.7,0.467(5.9/12.7),0.931(2.2/2.3),3.4,17.4,2.2,3.5,1.0,0.2,2.5,1.85
86,Pascal Siakam,"SF,PF,C",IND,16,31.9,0.534(8.4/15.7),0.693(2.7/3.9),1.6,21.1,5.6,3.6,0.7,0.7,2.1,1.79
87,De'Aaron Fox,"PG,SG",SA,7,33.1,0.473(7.7/16.3),0.911(2.9/3.1),1.6,19.9,4.1,6.9,0.4,0.1,2.0,1.79
88,Luguentz Dort,"SG,SF",OKC,12,30.9,0.486(4.6/9.4),0.000(0.0/0.2),3.3,12.4,4.6,1.7,1.4,0.5,0.7,1.71
89,Trey Murphy III,"SG,SF,PF",NO,10,31.9,0.452(6.1/13.5),0.889(3.2/3.6),1.9,17.3,4.5,3.1,0.7,0.8,2.6,1.71
90,Keegan Murray,"SF,PF",SAC,16,34.2,0.469(5.3/11.2),0.889(0.6/0.6),2.6,13.7,5.9,1.4,0.6,1.0,0.6,1.69
91,Kevin Huerter,"SG,SF",CHI,13,33.1,0.441(5.5/12.4),0.800(0.9/1.2),2.6,14.5,4.0,3.5,1.4,0.5,1.4,1.65
92,Josh Hart,"SG,SF,PF",NY,15,37.1,0.433(4.1/9.4),0.668(1.5/2.2),1.1,10.7,9.3,6.0,1.3,0.5,1.9,1.62
93,Franz Wagner,"SF,PF",ORL,14,34.5,0.448(8.4/18.6),0.907(4.2/4.6),1.1,22.1,5.9,4.2,0.7,0.1,2.6,1.45
94,Julius Randle,"PF,C",MIN,13,29.8,0.533(6.2/11.7),0.793(4.2/5.2),1.4,18.0,6.3,5.4,0.5,0.2,2.8,1.45
